,hhid,longitude,latitude,altitude,kebele
18994,DT0102332,37.75967,12.9797,2576,DT01
18995,DT0102330,37.76016,12.98006,2577,DT01
18996,DT0102329,37.76006,12.97999,2574,DT01
18997,DT0102328,37.76294,12.98108,2572,DT01
18998,DT0102327,37.76294,12.98108,2572,DT01
18999,DT0102324,37.93959,13.00488,2108,DT01
19000,DT0102325,37.93959,13.00488,2108,DT01
19001,DT0102326,37.93959,13.00488,2108,DT01
19002,DT0102323,37.7609,12.98025,2574,DT01
19003,DT0102322,37.76087,12.97876,2568,DT01
19004,DT0102321,37.75907,12.97929,2572,DT01
19005,DT0102319,37.76117,12.98064,2574,DT01
19006,DT0102318,37.75923,12.97954,2576,DT01
19007,DT0102317,37.75923,12.97954,2576,DT01
19008,DT0103304,37.98146,12.28146,2579,DT01
19009,DT0102316,37.75927,12.97946,2573,DT01
19010,DT0102314,37.76009,12.97995,2576,DT01
19011,DT0102315,37.76009,12.97995,2576,DT01
19012,DT0102313,37.75981,12.98024,2581,DT01
19013,DT0102312,37.76049,12.97928,2571,DT01
19014,DT0102311,37.76051,12.97923,2568,DT01
19015,DT0102310,37.76049,12.9798,2573,DT01
19016,DT0102309,37.76049,12.9798,2573,DT01
19017,DT0102308,37.76049,12.9798,2573,DT01
19018,DT0102307,37.76105,12.980296,2574,DT01
19019,DT0102414,37.45541,12.58487,2583,DT01
19020,DT0102421,37.45541,12.58487,2583,DT01
19021,DT0102418,37.45541,12.58487,2583,DT01
19022,DT0102419,37.45541,12.58487,2583,DT01
19023,DT0102304,37.7601,12.98052,2582,DT01
19024,DT0102306,37.7601,12.98052,2582,DT01
19025,DT0102305,37.7601,12.98052,2582,DT01
19026,DT0102301,37.76302,12.9812,2593,DT01
19027,DT0102302,37.76302,12.9812,2593,DT01
19028,DT0103144,37.76987,12.98527,2600,DT01
19029,DT0102300,37.76215,12.98184,2591,DT01
19030,DT0102299,37.76061,12.98018,2579,DT01
19031,DT0102298,37.76048,12.98041,2575,DT01
19032,DT0102297,37.76063,12.98038,2577,DT01
19033,DT0103259,37.7581,12.9738,2587,DT01
19034,DT0102295,37.76026,12.98055,2575,DT01
19035,DT0102294,37.7608,12.97868,2571,DT01
19036,DT0102293,37.76063,12.97873,2564,DT01
19037,DT0102292,37.76064,12.98048,2578,DT01
19038,DT0102290,37.76064,12.98048,2578,DT01
19039,DT0102291,37.76064,12.98048,2578,DT01
19040,DT0102289,37.75957,12.97965,2577,DT01
19041,DT0102288,37.7627,12.98216,2578,DT01
19042,DT0102285,37.75914,12.97942,2580,DT01
19043,DT0102282,37.76048,12.97927,2570,DT01
19044,DT0102281,37.76089,12.98025,2575,DT01
19045,DT0102280,37.76089,12.98025,2575,DT01
19046,DT0102277,37.76004,12.9787,2569,DT01
19047,DT0102278,37.76004,12.9787,2569,DT01
19048,DT0102276,37.76157,12.97991,2572,DT01
19049,DT0102275,37.75384,12.9737,2593,DT01
19050,DT0102272,37.75837,12.97969,2583,DT01
19051,DT0100300,37.7592,12.98049,2568,DT01
19052,DT0102269,37.75837,12.97791,2583,DT01
19053,DT0103275,37.7579,12.97365,2591,DT01
19054,DT0102267,37.75927,12.97922,2572,DT01
19055,DT0102264,37.76035,12.97891,2569,DT01
19056,DT0102261,37.75549,12.97619,2578,DT01
19057,DT0102259,37.75145,12.97643,2589,DT01
19058,DT0102258,37.75145,12.97643,2589,DT01
19059,DT0102256,37.75,12.97348,2582,DT01
19060,DT0102255,37.75655,12.97607,2575,DT01
19061,DT0102254,37.75536,12.97414,2590,DT01
19062,DT0102253,37.75515,12.97608,2580,DT01
19063,DT0102252,37.75515,12.97608,2580,DT01
19064,DT0102251,37.75301,12.97282,2595,DT01
19065,DT0102250,37.75452,12.97703,2585,DT01
19066,DT0102249,37.75439,12.97625,2587,DT01
19067,DT0102248,37.75498,12.97307,2587,DT01
19068,DT0102247,37.75983,12.97606,2583,DT01
19069,DT0102246,37.75983,12.97606,2583,DT01
19070,DT0102243,37.75524,12.9732,2588,DT01
19071,DT0102242,37.75463,12.97514,2588,DT01
19072,DT0102239,37.75412,12.97251,2599,DT01
19073,DT0102238,37.7541,12.97611,2880,DT01
19074,DT0102237,37.7541,12.97611,2880,DT01
19075,DT0102236,37.75685,12.97487,2575,DT01
19076,DT0102235,37.75405,12.97302,2596,DT01
19077,DT0102232,37.75423,12.97656,2590,DT01
19078,DT0102231,37.75602,12.97633,2579,DT01
19079,DT0102230,37.75428,12.97704,2587,DT01
19080,DT0102229,37.75445,12.97701,2578,DT01
19081,DT0102228,37.75376,12.97675,2588,DT01
19082,DT0102222,37.75591,12.97666,2579,DT01
19083,DT0102226,37.75591,12.97666,2579,DT01
19084,DT0102225,37.75591,12.97666,2579,DT01
19085,DT0102224,37.75591,12.97666,2579,DT01
19086,DT0102223,37.75591,12.97666,2579,DT01
19087,DT0102220,37.75401,12.97501,2589,DT01
19088,DT0102216,37.755,12.97593,2582,DT01
19089,DT0102215,37.755,12.97593,2582,DT01
19090,DT0102213,37.75583,12.97389,2597,DT01
19091,DT0102221,37.7533,12.97364,2589,DT01
19092,DT0102211,37.75622,12.97359,2594,DT01
19093,DT0102210,37.754807,12.97495,2596,DT01
19094,DT0102208,37.75423,12.97567,2580,DT01
19095,DT0103241,37.75422,12.97568,2581,DT01
19096,DT0102205,37.75317,12.97137,2603,DT01
