hhid,Q501,Q502,Q503,Q5041,Q5042,Q5043,Q5044,Q5045,Q5045s,Q505,Q506,Q507,Q508,Q509,Q510,Q511,Q512,Q513,Q514,Q515,Q516,Q517,Q518,Q519,Q520,Q521,Q522,Q523,Q5231,Q5232,Q5233,Q5234,Q5235,Q5236,Q5236s,Q524,Q525,Q5261,Q5262,Q5263,Q5264,Q5265,Q5266,Q5266s,Q527,Q528,Q529,Q530,Q531
DT1201130,4,4,1,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,2,1,2,2,2,2,2,,2,,,2,
DT1101308,1,1,1,1,2,2,2,2,,1,3,1,3,1,3,1,3,1,3,1,3,1,2,1,2,1,2,2,1,2,2,2,,1,YEKEN SERA,2,,2,2,2,2,2,2,,2,,,2,
DT0801308,5,2,1,1,2,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,2,,,2,
DT0800477,1,1,1,1,2,2,2,2,,1,2,1,2,1,2,2,,1,2,1,2,2,,2,,2,,2,2,2,1,2,,2,,2,,1,2,2,2,2,2,,1,15,2,1,2
DT1101080,4,4,1,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,2,,1,2,2,2,2,2,,2,,,2,
DT0400150,3,3,2,1,1,2,2,2,,1,3,1,1,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,2,,,2,
DT0701220,3,3,1,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,2,,,2,
DT0800482,2,2,1,1,2,2,2,2,,1,2,1,2,1,1,2,,2,,2,,2,,2,,2,,2,2,1,2,2,,2,,2,,2,2,1,2,2,2,,2,,,2,
DT0800483,1,1,1,2,1,2,2,2,,1,3,1,2,2,,2,,2,,1,1,1,2,2,,2,,2,2,1,2,2,,2,,1,2,2,2,1,2,2,2,,2,,,1,2
DT0600516,4,4,1,1,2,2,2,2,,1,2,2,,1,3,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,1,30,0,2,
DT1300230,3,3,1,1,2,2,2,2,,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,2,,2,1,1,2,2,,2,,1,3,1,2,2,2,2,2,,1,76,2,2,
DT0301051,6,4,2,1,2,2,2,2,,1,2,1,2,1,2,1,2,1,2,1,2,2,,2,,2,,2,1,2,2,2,,2,,1,3,1,2,2,2,2,2,,2,,,2,
DT0900089,0,,,2,1,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,2,,1,2,2,2,2,2,,2,,,2,
dt1100552,2,2,1,1,1,2,2,2,,1,2,1,2,1,3,1,3,1,3,1,3,1,2,1,2,2,,2,2,1,2,2,,2,,1,3,2,2,2,2,2,2,,2,,,2,
DT0800489,5,3,1,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,2,1,2,2,2,2,2,,1,20,0,2,
DT0102323,0,,,2,2,1,2,2,,1,2,1,2,1,2,1,2,1,2,1,2,2,,2,,2,,2,1,2,1,2,,2,,2,,2,2,2,2,2,2,,2,,,2,
DT1201442,1,1,2,1,1,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,1,2,2,2,,2,,,1,2
DT0800492,4,4,1,1,1,2,2,2,,1,2,2,,2,,2,,2,,1,2,2,,2,,2,,2,2,2,2,2,,2,,1,2,1,2,2,2,2,2,,2,,,2,
DT0801055,4,4,1,1,2,2,2,2,,1,2,1,2,1,2,2,,1,2,1,2,2,,2,,2,,2,1,2,2,2,,2,,1,3,1,2,2,2,2,2,,2,,,2,
DT1300025,3,1,1,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,2,,,2,
DT1201706,3,2,1,1,2,2,2,2,,1,2,2,,1,1,2,,2,,2,,2,,2,,2,,2,2,1,1,2,,2,,2,,2,2,2,2,2,2,,1,120,2,2,
DT0101346,0,,,2,1,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,2,,1,2,2,2,2,2,,2,,,2,
DT0300322,5,2,1,1,2,2,2,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,1,20,0,2,
