hhid,hh_members,sex,relation,hh_education,main_occupation,marital_status,residence,age,longitude,latitude,altitude,kebele,Q401,Q406,Q301,Q302,Q304,Q306,Q307,Q308m,Qsou_inform,Q3098,Q3099,Q30910,Q30911,Q3098n,Q3099n,Q30910n,Q30911n,Q30912n,Q30913n,Q30914n,Q30915n,Q501,Q503,Q504,Q505,Q506,Q507,Q508,Q509,Q510,Q511,Q512,Q513,Q514,Q515,Q516,Q517,Q518,Q519,Q520,Q521,Q522,Q523,Q5231,Q5232,Q5233,Q5234,Q524,Q525,Q5261,Q5262,Q5263,Q5264
DT0100050,0.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,37.75404,12.97488,2.0,DT01,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,2.0,1,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2,2,1,2
DT0100051,1.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,37.7542,12.97452,2.0,DT01,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2,1.0,2,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1,2,2,2
DT0100052,0.0,0.0,1.0,0.0,2.0,4.0,0.0,2.0,37.75431,12.9743,2.0,DT01,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0,2,1,3.0,1,3.0,1,3.0,1,2.0,1,3.0,1,3.0,2,0.0,2,0.0,2,0.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1,2,2,2
DT0100054,0.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,37.75431,12.97462,2.0,DT01,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,2.0,2,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1,2,2,2
DT0100055,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,37.75444,12.9748,2.0,DT01,1.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3,1.0,2,1,2.0,1,3.0,1,3.0,1,2.0,2,0.0,1,2.0,2,0.0,2,0.0,2,0.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1,2,2,2
DT0100057,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,37.75474000000001,12.97487,2.0,DT01,1.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0,2,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1,2,2,2
DT0100058,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,37.75474000000001,12.97472,2.0,DT01,1.0,2.0,2.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,2.0,2,2,0.0,1,2.0,1,2.0,1,2.0,1,2.0,2,0.0,2,0.0,2,0.0,2,0.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1,2,2,2
DT0100059,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,37.75474000000001,12.97477,2.0,DT01,1.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,3,1.0,2,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1,2,2,2
DT0100060,0.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,37.75465,12.97443,2.0,DT01,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,2,1,1.0,1,1.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,1,2,2,2
DT0100061,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,37.75475,12.97432,2.0,DT01,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0.0,2,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2,2,2,2
