hhid,Q401,Q406,Q301,Q302,Q304,Q306,Q307,Q308m,Qsou_inform,Q3098,Q3099,Q30910,Q30911,Q3098n,Q3099n,Q30910n,Q30911n,Q30912n,Q30913n,Q30914n,Q30915n
DT0601185,2.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT1300897,2.0,2.0,1,1,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0
DT0100375,1.0,2.0,2,1,1,1,3,0,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0201085,1.0,2.0,2,1,2,1,3,0,0,1,0,0,1,1,0,0,1,0,0,0.0,0.0
DT1201150,2.0,2.0,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0801628,2.0,2.0,1,1,1,3,2,0,0,1,0,1,1,1,0,1,1,0,0,0.0,0.0
DT0102062,1.0,1.0,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0601178,1.0,2.0,2,1,1,3,2,0,0,1,1,1,1,1,2,1,1,1,0,0.0,0.0
DT0601176,1.0,2.0,2,1,1,3,2,0,0,1,0,1,1,1,0,1,1,0,0,0.0,0.0
DT0101197,1.0,2.0,2,1,1,1,3,0,2,1,1,1,0,1,2,1,0,1,1,0.0,0.0
DT0700855,2.0,2.0,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0100911,1.0,2.0,2,1,2,1,3,1,2,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0601001,1.0,2.0,2,1,1,1,2,1,1,1,0,0,1,1,0,0,1,0,0,0.0,0.0
DT0301085,2.0,2.0,2,1,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0
DT0601170,2.0,2.0,2,1,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0
DT0701240,2.0,2.0,1,1,1,3,1,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0500356,1.0,2.0,2,1,1,3,2,0,2,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT0800554,2.0,2.0,1,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0800894,2.0,2.0,2,1,1,3,2,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0
