hhid,hh_members,sex,hh_education,residence,age,altitude,Q401,Q304,Q306,Q307,Q308m,Qsou_inform,Q504,Q5231,Q5232,Q5233,Q5234,Q524,main_occupation,marital_status,Q3098n,Q3099n,Q30910n,Q30911n,food_secured
DT0100220,1,1,4,0,0,2,1,1,4,3,1,2,2,2,2,2,2,2,4,1,0,0,0,1,1
DT0100221,1,1,3,0,2,2,1,1,1,3,1,2,2,2,2,2,2,1,4,1,0,0,1,1,1
DT0100224,0,0,0,0,1,2,1,1,1,3,1,0,2,2,2,2,2,2,2,4,0,0,0,1,1
DT0100225,0,0,0,0,1,2,1,3,1,1,1,0,2,1,2,2,2,1,2,4,0,0,0,0,0
DT0100226,1,0,1,0,1,2,1,3,1,2,1,2,5,1,1,2,2,1,3,3,0,0,0,0,0
DT0100227,1,1,0,0,1,2,1,3,1,2,1,0,5,1,2,2,2,2,4,1,0,0,1,0,0
DT0100228,0,0,0,0,1,2,1,2,1,3,1,0,5,1,1,2,2,2,3,3,0,0,0,0,0
DT0100229,0,1,0,0,1,2,1,3,1,3,1,0,5,2,1,2,2,2,2,1,0,0,0,0,0
DT0100230,0,0,0,0,2,2,1,3,1,2,1,0,2,1,1,2,2,2,3,4,0,0,0,0,0
DT0100231,1,1,3,0,1,2,1,2,1,3,1,3,2,1,1,2,2,2,4,1,1,0,0,0,0
DT0100232,0,0,0,0,1,2,1,3,1,2,0,0,5,1,2,1,2,2,3,3,0,0,0,0,0
DT0100233,0,0,0,0,1,2,1,3,1,2,1,0,2,1,2,2,2,2,3,3,0,0,0,0,0
DT0100234,1,1,2,0,1,2,1,2,1,3,1,3,2,2,2,2,2,2,3,1,1,1,0,0,1
DT0100235,1,0,1,0,1,2,1,3,1,3,1,2,2,2,2,2,2,2,3,4,0,0,1,1,1
DT0100236,0,0,3,0,0,2,1,2,1,3,1,2,2,2,2,2,2,2,2,4,0,0,0,0,1
DT0100237,0,0,0,0,1,2,1,3,1,2,1,0,2,2,2,2,2,1,3,3,1,0,1,0,1
DT0100238,0,1,4,0,1,2,1,1,4,3,1,3,2,2,2,2,2,2,4,3,0,0,0,0,0
DT0100245,1,1,4,0,1,2,1,1,1,3,1,3,2,2,2,2,2,2,4,1,0,0,0,0,1
DT0100249,0,0,4,0,1,2,1,1,1,4,1,2,2,2,2,2,2,2,4,4,1,0,0,0,0
DT0100251,1,1,1,0,1,2,1,1,1,3,0,1,2,2,2,2,2,2,3,1,0,0,0,0,1
DT0100252,1,1,2,0,0,2,1,2,1,3,0,2,2,2,2,2,2,2,3,1,0,0,0,0,0
DT0100253,0,1,4,0,0,2,1,2,1,3,1,2,2,2,2,2,2,2,4,1,0,0,0,1,1
DT0100256,1,1,1,0,2,2,1,1,1,3,1,1,2,2,2,2,2,1,3,1,1,1,0,1,0
DT0100259,0,0,3,0,0,2,1,2,1,3,0,0,5,1,2,2,2,2,1,2,0,0,0,0,0
DT0100261,0,1,4,0,0,2,1,2,1,3,1,3,2,2,2,2,2,2,4,1,0,0,0,0,1
DT0100263,0,0,3,0,1,2,1,1,1,4,1,3,2,2,2,2,2,2,3,0,0,0,0,1,1
DT0100264,0,1,4,0,0,2,1,1,1,3,1,2,2,2,2,2,2,2,4,0,0,0,0,0,1
DT0100265,0,0,4,0,1,2,1,1,4,3,1,2,2,2,2,2,2,2,4,3,0,0,0,0,1
DT0100266,0,0,3,0,0,2,1,2,1,3,0,1,3,2,2,2,2,2,1,2,0,0,0,0,1
DT0100267,0,1,4,0,0,2,1,2,4,3,1,1,2,2,2,2,2,2,4,2,0,0,0,0,1
DT0100268,0,0,3,0,0,2,1,1,1,3,0,3,2,2,2,2,2,2,3,2,0,0,0,0,1
DT0100269,0,1,3,0,0,2,1,1,1,3,1,3,2,2,2,2,2,2,4,1,0,0,0,1,1
DT0100274,0,1,0,0,1,2,1,3,1,2,1,0,2,2,2,2,2,2,4,1,0,0,1,1,1
DT0100275,0,1,1,0,1,2,1,3,1,3,0,0,5,2,2,2,2,2,0,1,0,0,0,0,0
DT0100277,0,0,0,0,2,2,1,2,1,2,0,1,2,1,2,2,2,2,2,3,0,0,0,0,0
DT0100278,1,1,3,0,1,2,1,2,1,3,1,1,2,2,2,2,2,2,3,1,0,0,0,1,1
DT0100279,0,0,1,0,1,2,1,2,1,3,1,1,2,2,2,2,2,2,4,4,0,0,0,0,1
DT0100280,0,0,0,0,1,2,1,3,1,2,0,0,5,1,2,2,2,2,3,4,0,0,0,0,0
DT0100281,0,1,0,0,1,2,1,2,1,2,1,0,2,1,2,2,2,2,3,1,0,0,0,0,0
DT0100282,0,1,0,0,2,2,1,3,1,2,1,0,2,1,2,2,2,2,3,1,0,0,0,0,0
DT0100283,1,1,0,0,1,2,1,2,1,3,1,0,2,2,2,2,2,2,2,1,0,1,0,0,1
DT0100284,0,1,3,0,1,2,1,1,1,3,1,2,2,2,2,2,2,2,4,3,0,0,0,0,1
DT0100285,1,1,4,0,1,2,1,1,1,3,1,3,2,2,2,2,2,2,4,1,0,0,0,0,1
DT0100286,0,1,3,0,1,2,1,1,1,3,1,2,2,2,2,2,2,2,4,1,0,0,0,0,0
DT0100288,0,0,4,0,0,2,1,2,1,3,1,3,2,2,2,2,2,2,4,4,0,0,0,0,1
DT0100289,0,1,4,0,0,2,1,2,1,3,1,1,2,2,2,2,2,2,4,2,0,0,0,0,1
DT0100290,0,1,2,0,2,2,1,1,1,3,1,2,2,2,2,2,2,2,3,1,0,0,0,0,0
DT0100292,0,1,4,0,1,2,1,1,3,3,1,2,2,2,2,2,2,2,4,1,0,0,0,0,0
DT0100294,0,1,4,0,0,2,1,2,1,3,1,2,2,2,2,2,2,2,4,1,0,0,0,0,1
DT0100295,0,0,0,0,2,2,1,1,1,1,0,0,2,2,2,2,2,2,2,4,0,0,0,0,0
DT0100296,0,1,4,0,0,2,1,1,1,3,1,2,2,2,2,2,2,2,4,1,1,0,0,1,1
DT0100297,0,0,0,0,2,2,1,1,1,3,1,0,2,2,2,2,2,2,2,4,0,0,0,0,1
DT0100300,0,1,4,0,0,2,1,2,4,3,1,1,2,2,2,2,2,2,4,1,0,0,0,0,0
DT0100301,1,1,1,0,2,2,1,1,4,3,1,2,2,2,2,2,2,2,3,1,0,0,0,0,0
DT0100303,1,1,3,0,0,2,1,1,3,3,1,3,2,2,2,2,2,2,3,1,0,0,0,0,1
DT0100305,0,0,2,0,2,2,1,1,1,3,1,2,2,2,2,2,2,2,2,4,0,0,0,0,0
DT0100306,0,1,1,0,2,2,1,1,1,3,1,2,2,2,2,2,2,2,3,1,0,0,0,0,1
