hhid,longitude,latitude,altitude,kebele
DT1300953,37.88405,12.98462,2,DT13
DT1300952,37.88405,12.9842,2,DT13
DT1300951,37.88351,12.98344,2,DT13
DT1300950,37.88398,12.96338,2,DT13
DT1300949,37.88384,12.98327,2,DT13
DT1300948,37.87457,12.97299,2,DT13
DT1300947,37.87454,12.973460000000001,2,DT13
DT1300946,37.874340000000004,12.973419999999999,2,DT13
DT1300945,37.87368,12.97438,2,DT13
DT1300944,37.873509999999996,12.97322,2,DT13
DT1300943,37.87325,12.97299,2,DT13
DT1300942,37.872859999999996,12.97406,2,DT13
DT1301389,37.872690000000006,12.97408,2,DT13
DT1301510,37.870909999999995,12.97451,2,DT13
DT1300941,37.87095,12.97444,2,DT13
DT1300940,37.8718,12.97972,2,DT13
DT1300939,37.87012,12.97189,2,DT13
DT1300938,37.87016,12.97155,2,DT13
DT1300937,37.87142,12.97178,2,DT13
DT1300936,37.87146,12.971689999999999,2,DT13
DT1300935,37.83482,12.9717,2,DT13
DT1300934,37.874629999999996,12.9722,2,DT13
DT1300933,37.87485,12.97245,2,DT13
DT1300932,37.87505,12.9225,2,DT13
DT1300931,37.87513,12.972660000000001,2,DT13
DT1300930,37.875640000000004,12.973189999999999,2,DT13
DT1300929,37.87603,12.97327,2,DT13
DT1301388,37.87593,12.973239999999999,2,DT13
DT1300928,37.87611,12.97325,2,DT13
DT1300927,37.8757,12.97338,2,DT13
DT1300926,37.87573,12.97384,2,DT13
DT1300925,37.82602,12.9732,2,DT13
DT1300924,37.87661,12.973460000000001,2,DT13
DT1300923,37.87695,12.973310000000001,2,DT13
DT1300922,37.87705,12.972999999999999,2,DT13
DT1300921,37.876459999999994,12.97167,2,DT13
DT1300920,37.87701,12.97202,2,DT13
DT1301400,37.876059999999995,12.97667,2,DT13
DT1300919,37.877320000000005,12.97277,2,DT13
DT1300918,37.87725,12.97273,2,DT13
DT1300917,37.87751,12.97269,2,DT13
DT1300916,37.87753,12.97268,2,DT13
DT1300915,37.877720000000004,12.972489999999999,2,DT13
DT1300914,37.8778,12.97242,2,DT13
DT1300913,37.87839,12.97229,2,DT13
DT1300912,37.87843,12.97161,2,DT13
DT1300911,37.878479999999996,12.97155,2,DT13
DT1300910,37.88009,12.97387,2,DT13
DT1301386,37.87999,12.973889999999999,2,DT13
DT1300909,37.88005,12.973230000000001,2,DT13
DT1300908,37.87877,12.97285,2,DT13
DT1300907,37.87883,12.97282,2,DT13
DT1300906,37.87761,12.97385,2,DT13
DT1300905,37.87726,12.97354,2,DT13
DT1301390,37.877179999999996,12.97356,2,DT13
DT1300904,37.87699,12.9738,2,DT13
DT1301391,37.87706,12.97377,2,DT13
DT1300903,37.876979999999996,12.92382,2,DT13
DT1300902,37.8769,12.97385,2,DT13
DT1301394,37.87668,12.9739,2,DT13
DT1301393,37.87639,12.974789999999999,2,DT13
DT1300901,37.8764,12.97467,2,DT13
DT1300900,37.87685,12.974789999999999,2,DT13
DT1301396,37.87689,12.97483,2,DT13
DT1300899,37.87689,12.97478,2,DT13
DT1301398,37.875040000000006,12.97504,2,DT13
DT1300898,37.87677,12.97499,2,DT13
DT1300897,37.87702,12.975060000000001,2,DT13
DT1301397,37.87693,12.97511,2,DT13
DT1300896,37.87704,12.97507,2,DT13
DT1300895,37.87655,12.974860000000001,2,DT13
DT1300894,37.81653,12.97488,2,DT13
DT1301395,37.87658,12.97489,2,DT13
DT1300893,37.85665,12.97488,2,DT13
DT1300892,37.87643,12.97642,2,DT13
DT1300891,37.87679,12.97741,2,DT13
DT1300890,37.87666,12.97738,2,DT13
DT1300889,37.87659,12.97785,2,DT13
DT1300888,37.87673,12.97819,2,DT13
DT1300887,37.8877,12.978,2,DT13
DT1300886,37.876940000000005,12.97626,2,DT13
DT1301402,37.87699,12.976339999999999,2,DT13
DT1300885,37.87686,12.97633,2,DT13
DT1300884,37.87743,12.97557,2,DT13
DT1301401,37.87745,12.97565,2,DT13
DT1300883,37.87727,12.97565,2,DT13
DT1300882,37.8772,13.975270000000002,2,DT13
DT1301399,37.87712,12.97526,2,DT13
DT1300881,37.87789,12.97448,2,DT13
