hhid,Q4011,Q4012,Q4013,Q4014,Q4015,Q4016,Q4060,Q401,Q406
DT0801103,0,0,0,1,0,0,7,2,2
DT0102584,1,0,0,0,0,0,3,1,1
DT0801105,0,0,0,1,0,0,7,2,2
DT0200388,1,0,0,0,0,0,5,1,2
DT1200071,0,0,0,0,0,1,7,2,2
DT0900128,1,0,0,0,0,0,7,1,2
DT0700857,0,0,0,0,0,1,7,2,2
dt1100476,1,0,0,0,0,0,7,1,2
DT0801115,0,0,0,0,0,1,7,2,2
DT0801118,0,0,0,0,0,1,7,2,2
DT0802075,0,0,0,0,1,0,6,2,2
DT0101878,1,0,0,0,0,0,7,1,2
DT0200950,1,0,0,0,0,0,5,1,2
DT0800950,0,0,0,0,0,1,7,2,2
DT1000027,0,0,0,0,0,1,7,2,2
DT0601343,0,0,1,0,0,0,5,1,2
DT1200826,0,0,0,0,0,1,7,2,2
DT0100654,1,0,0,0,0,0,4,1,2
DT0500218,0,0,0,1,0,0,7,2,2
dt1100393,1,0,0,0,0,0,7,1,2
DT0300139,0,1,0,0,0,0,7,1,2
DT0801921,0,0,0,0,0,1,7,2,2
DT1100187,1,0,0,0,0,0,5,1,2
DT0801141,0,1,0,0,0,0,7,1,2
dt0400434,0,0,0,1,0,0,7,2,2
DT0300917,1,0,0,0,0,0,2,1,1
DT0500098,0,0,0,1,0,0,7,2,2
DT1300584,0,0,0,1,0,0,7,2,2
DT1201787,0,0,0,1,0,0,7,2,2
DT1100667,1,0,0,0,0,0,7,1,2
DT0600540,0,0,0,0,0,1,7,2,2
DT0102690,1,0,0,0,0,0,7,1,2
DT0801162,0,0,0,0,0,1,7,2,2
DT0501239,0,0,1,0,0,0,7,1,2
DT0400343,0,1,0,0,0,0,5,1,2
DT0501153,0,0,1,0,0,0,7,1,2
DT0102026,1,0,0,0,0,0,7,1,2
DT0901017,1,0,0,0,0,0,7,1,2
DT0201371,1,0,0,0,0,0,7,1,2
DT0801174,0,0,0,0,0,1,7,2,2
DT0901028,1,0,0,0,0,0,7,1,2
DT0601253,0,0,0,1,0,0,7,2,2
DT0801180,0,0,0,0,0,1,7,2,2
DT0200424,1,0,0,0,0,0,7,1,2
DT0300585,0,0,0,1,0,0,7,2,2
DT0800252,0,0,0,0,0,1,7,2,2
DT0801184,0,0,0,0,0,1,7,2,2
DT0800319,0,0,0,0,0,1,7,2,2
DT0801580,0,0,0,0,0,1,7,2,2
DT1100301,1,0,0,0,0,0,4,1,2
DT0501221,0,0,0,1,0,0,7,2,2
DT0700917,0,0,0,0,0,1,7,2,2
DT0801191,0,0,0,0,0,1,7,2,2
DT1000643,0,0,1,0,0,0,7,1,2
DT0600149,0,1,0,0,0,0,7,1,2
DT1201380,0,0,0,1,0,0,7,2,2
DT1202072,0,0,0,1,0,0,7,2,2
DT0700653,0,0,0,1,0,0,7,2,2
DT0600452,0,0,0,0,0,1,7,2,2
DT1000610,0,1,0,0,0,0,5,1,2
DT0102096,1,0,0,0,0,0,5,1,2
dt1101019,1,0,0,0,0,0,7,1,2
DT0300735,0,1,0,0,0,0,4,1,2
DT1100600,1,0,0,0,0,0,3,1,1
DT1100954,1,0,0,0,0,0,7,1,2
DT1000103,0,0,1,1,0,0,7,1,2
DT1202221,0,0,0,1,0,0,7,2,2
DT0200759,1,0,0,0,0,0,7,1,2
DT0102092,1,0,0,0,0,0,4,1,2
DT0801226,0,0,0,0,0,1,7,2,2
DT0101501,1,0,0,0,0,0,7,1,2
DT1202020,0,0,0,1,0,0,7,2,2
